Name,Image_link,Price,Product_link
Zen - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_b89b7807-c644-4620-b77b-801a00c968a3_3024x.jpg?v=1692608830,"Rs. 8,998.00",https://kompanero.in/products/zen-the-backpack?variant=45330019254555
Rover - The small backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_26aa7187-a7c4-4b50-82d1-b2b3394524f2_3024x.jpg?v=1692265212,"Rs. 5,999.00",https://kompanero.in/products/rover-the-small-backpack?variant=45329994547483
Vipasa - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_c053612c-0a66-4efc-ab6a-db01cc4ac2ce_3024x.jpg?v=1692609742,"Rs. 4,798.00",https://kompanero.in/products/vipasa-the-sling?variant=45329965056283
Austin - The Backpacker,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_bdaea439-6ff8-4e88-9633-dfc05be2944e_3024x.jpg?v=1692277823,"Rs. 9,599.00",https://kompanero.in/products/austin-the-backpacker?variant=45329873633563
Ariyeh - The Cardholder,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_efcd6299-d04e-481d-a6a8-0a02b7f0457d_3024x.jpg?v=1692792697,Rs. 898.00,https://kompanero.in/products/ariyeh-the-cardholder?variant=45329862164763
Aimee - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_e49bf245-cf5b-4dee-a3d8-b402f1aff659_3024x.jpg?v=1692617766,"Rs. 5,999.00",https://kompanero.in/products/aimee-the-handbag?variant=45329825890587
Bluebell- The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_7572970c-f5a4-4cc4-97d6-d656a1e54aff_3024x.jpg?v=1692365287,"Rs. 5,299.00",https://kompanero.in/products/bluebell-the-handbag?variant=45329815798043
Brielle - The Tote,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_981d3f0f-ce00-4e2a-a170-1b1777fe6dc4_3024x.jpg?v=1691737659,"Rs. 9,599.00",https://kompanero.in/products/brielle-the-tote?variant=45329804525851
Gardenia - The Medium Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_750c167a-2042-4be3-8f7a-8d9edb12e98a_3024x.jpg?v=1692704179,"Rs. 9,099.00",https://kompanero.in/products/gardenia-the-medium-handbag?variant=45329789583643
Roadster - The Crossbody,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_66d2b255-a59c-47aa-8046-b4adbabe9cce_3024x.jpg?v=1692438763,"Rs. 4,798.00",https://kompanero.in/products/roadster-the-crossbody?variant=45329783783707
Harmonia - The Shoulder Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_a052c91d-24ad-4226-bd7f-f50a6881db67_3024x.jpg?v=1691833476,"Rs. 11,898.00",https://kompanero.in/products/harmonia-the-shoulder-bag?variant=45329782866203
Annika - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_d9d28664-200d-4213-8861-c355f75328be_3024x.jpg?v=1691565651,"Rs. 1,999.00",https://kompanero.in/products/annika-the-belt?variant=45329764811035
Ailleda - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_bdb58472-3599-4f42-8d94-5e529dd9d09d_3024x.jpg?v=1692343183,"Rs. 6,899.00",https://kompanero.in/products/ailleda-the-sling?variant=45329571676443
Lilly - The Luggage Tag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_56b94306-ae93-4aa4-81f3-67165a67dc22_3024x.jpg?v=1693032450,"Rs. 1,119.00",https://kompanero.in/products/lilly-the-luggage-tag?variant=45329419632923
