Name,Image_link,Price
Macrame - The Small Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_19ca8a43-3117-452c-a059-6a0469a0fdf4_3024x.jpg?v=1693632457,"Rs. 3,999.00"
Macrame - The Crossbody,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_dbb06fee-85d7-4921-967f-500fa3320937_3024x.jpg?v=1693632497,"Rs. 9,498.00"
Macrame - The Round Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_e6c89c31-8562-431c-8daf-0876cbcf9e4f_3024x.jpg?v=1693324183,"Rs. 10,497.00"
Diana - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_6ac7f71c-1ea5-4b6a-8bde-189190b0140f_3024x.jpg?v=1693473970,"Rs. 11,997.00"
Rochelle - The Slingbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_cd17e5e5-903f-43e0-863a-71583275c71c_3024x.jpg?v=1693044735,"Rs. 6,999.00"
Rochelle - The Crossbody,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_27a59000-986e-44a5-a191-f1f87b5a6356_3024x.jpg?v=1693045014,"Rs. 8,997.00"
Alexander - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/01_3024x.jpg?v=1693044872,"Rs. 23,997.00"
Alexander - The Laptop Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_d4213225-5fdc-4bb4-ab59-01b95806650c_3024x.jpg?v=1693044911,"Rs. 20,997.00"
Alexander - The Portfolio,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_fbeac390-983d-4e4a-9e24-3c1e1ddffc93_3024x.jpg?v=1693044837,"Rs. 23,997.00"
Lettice - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_c085d141-2e2e-41dc-82b8-d378c95c690e_3024x.jpg?v=1693473558,"Rs. 3,199.00"
Eero - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_7d580f4a-772f-4b4e-a681-7079f56bc270_3024x.jpg?v=1693474656,"Rs. 1,498.00"
Callie - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_74e36fbc-482f-488c-bbb6-302bc4366065_3024x.jpg?v=1693474547,"Rs. 1,798.00"
Onda - The sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_04c08076-9874-48d6-9bf6-f8c78f021e2d_3024x.jpg?v=1693473833,"Rs. 4,798.00"
Kaleido - The Medium Crossbody Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_1752b25b-c92d-49f8-bc0e-9c545d190bcc_3024x.jpg?v=1693473926,"Rs. 7,998.00"
Ava - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/StudioSession-8324copycopy_3024x.jpg?v=1693797959,"Rs. 4,398.00"
Ora - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/G31A4974_3024x.jpg?v=1693798232,"Rs. 14,598.00"
Brielle - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_7c55a74f-7f47-4a5e-a373-558bb9724385_3024x.jpg?v=1693473870,"Rs. 5,997.00"
Lacey - The Satchel,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_8c9482f4-3e03-4788-9801-032dc21fe8dd_3024x.jpg?v=1693473792,"Rs. 11,997.00"
Zasha - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_3674457d-108c-4615-be73-c0ac0919d168_3024x.jpg?v=1693475432,"Rs. 2,719.00"
Marisha - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_2a3899e1-5a99-4422-8091-26dffaac8a0d_3024x.jpg?v=1693475493,"Rs. 1,598.00"
Camila - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_39669a07-1a87-4291-8e5d-6515e70beee1_3024x.jpg?v=1693475582,"Rs. 1,139.00"
Ruby - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/G31A0434_3024x.jpg?v=1693570263,"Rs. 9,999.00"
Melissa - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_7130642d-4a53-42c9-8fa3-dbcbc7c0c629_3024x.jpg?v=1693472614,"Rs. 3,999.00"
Eilaria - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_9a9dbe4b-be30-4437-a854-794da7f57c0e_3024x.jpg?v=1693465023,"Rs. 8,299.00"
Alisha - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_0aa54b26-4cc2-43bf-be18-2e6cd13fa915_3024x.jpg?v=1693473735,"Rs. 9,999.00"
Rover - The laptop backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_4ed3621c-6b28-4b57-8deb-15a53f577d05_3024x.jpg?v=1693465659,"Rs. 9,599.00"
Vipasa - The Crossbody,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_8e9196ec-d11e-4652-80d2-96ac4343e831_3024x.jpg?v=1693465597,"Rs. 5,999.00"
Cealfa - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_19b22d2c-8120-4856-ad09-3480d55dc861_3024x.jpg?v=1693463403,"Rs. 10,998.00"
Amelia - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/0184_3024x.jpg?v=1693570423,"Rs. 13,998.00"
Brette - The Crossbody,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_beaa8a6f-14a5-415e-8eb5-d1abc273a800_3024x.jpg?v=1693465323,"Rs. 5,997.00"
Onda - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_b978eb64-fa66-44a8-9ff5-9fb9d9588102_3024x.jpg?v=1693464574,"Rs. 4,199.00"
